name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
ajmer,2024-06-11,41.8,30.7,36.2,40.2,30.2,35.6,13.6,27.5,0,3.2,0,,0,0,44.6,32,261.8,1001.8,36.5,24.1,320.3,27.7,10,30,2024-06-11T05:38:04,2024-06-11T19:24:33,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
ajmer,2024-06-12,41.2,29.5,35.1,40.4,30.1,35,15.1,32,0,3.2,0,,0,0,52.2,35.6,255.8,1002.3,54.3,24.1,317.3,27.5,10,10,2024-06-12T05:38:07,2024-06-12T19:24:54,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
ajmer,2024-06-13,39.6,29.6,34.4,38.2,29.2,33.2,12.2,27.1,0,0,0,,0,0,56.5,37.4,266.4,1001.8,57.1,24.1,231.4,19.9,10,10,2024-06-13T05:38:11,2024-06-13T19:25:15,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
ajmer,2024-06-14,39.3,28.2,34.2,38,28.9,33.3,13.2,29.8,0,0,0,,0,0,51.8,36.4,258.4,1001.4,6.7,24.1,327.5,28.2,10,10,2024-06-14T05:38:16,2024-06-14T19:25:34,0.25,Clear,Clear conditions throughout the day.,clear-day,
ajmer,2024-06-15,39.3,28.1,34.2,38.7,29.5,34.1,15.2,34,0,0,0,,0,0,52.2,36.7,256.1,1000.9,7,24.1,329.6,28.3,10,10,2024-06-15T05:38:22,2024-06-15T19:25:53,0.28,Clear,Clear conditions throughout the day.,clear-day,
ajmer,2024-06-16,40.3,29.2,35.1,41.8,30.8,35.9,16.9,35.4,0.1,0,4.17,rain,0,0,53.6,39.6,261.6,1000.2,21.9,24.1,330.4,28.6,9,10,2024-06-16T05:38:30,2024-06-16T19:26:11,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
ajmer,2024-06-17,40.5,30.8,35.7,42.3,31.6,36.8,17.5,35.1,0,0,0,,0,0,53.6,37.4,260.7,1000,4.4,24.1,310.3,26.7,9,10,2024-06-17T05:38:38,2024-06-17T19:26:28,0.35,Clear,Clear conditions throughout the day.,clear-day,
ajmer,2024-06-18,40.3,30.5,35.4,41.9,31.6,36.7,17.8,36.5,0,3.2,0,,0,0,48.6,36,263.6,999.2,4.8,24.1,313,27,9,10,2024-06-18T05:38:48,2024-06-18T19:26:44,0.38,Clear,Clear conditions throughout the day.,clear-day,
ajmer,2024-06-19,40,29.8,34.9,41.4,32,36.5,18.4,39.6,0,6.5,0,,0,0,48.2,32,257.1,997.9,36,24.1,311.4,27,9,10,2024-06-19T05:38:59,2024-06-19T19:26:59,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
ajmer,2024-06-20,40.1,29.7,35.1,41.7,31.7,36.6,18.1,38,0,12.9,0,,0,0,47.5,31.7,251.5,997.9,43.2,24.1,278.6,24,9,10,2024-06-20T05:39:10,2024-06-20T19:27:12,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
ajmer,2024-06-21,39.9,30.7,35,41.7,32.1,36.6,18.3,38.1,0.2,12.9,8.33,rain,0,0,47.2,31,255.8,997,49.5,24.1,231.5,20.1,7,10,2024-06-21T05:39:23,2024-06-21T19:27:25,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
ajmer,2024-06-22,39.6,30.5,35,42.4,33.3,37.5,19.6,41.4,0.7,9.7,8.33,rain,0,0,44.6,28.1,258.6,996.2,58.6,24.1,264.8,23,8,30,2024-06-22T05:39:37,2024-06-22T19:27:37,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
ajmer,2024-06-23,42.2,30.8,35.5,44.9,33,38.1,19.7,41,1.8,9.7,12.5,rain,0,0,49.3,31.7,248.3,995.8,86.9,24.1,251.3,22.1,9,30,2024-06-23T05:39:51,2024-06-23T19:27:48,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
ajmer,2024-06-24,38.7,31.2,34.3,42.2,33.8,37.5,20.8,46,2.3,9.7,12.5,rain,0,0,51.8,36.4,239.7,996.8,98.1,20.4,234.1,20.4,8,30,2024-06-24T05:40:07,2024-06-24T19:27:57,0.58,Overcast,Cloudy skies throughout the day.,cloudy,
ajmer,2024-06-25,31.9,26.6,29.7,35.4,26.6,33.1,22.5,65.6,7,9.7,20.83,rain,0,0,43.6,33.1,194.9,998.2,96,23.2,80.9,7.1,2,10,2024-06-25T05:40:23,2024-06-25T19:28:06,0.62,Overcast,Cloudy skies throughout the day.,cloudy,
