name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new delhi,2024-06-24,39.7,31,34.9,44.5,37.6,41.1,23.5,53.8,0,22.6,0,,0,0,51.8,18.4,114.1,998.7,80.5,7.6,282,24.4,9,30,2024-06-24T05:24:46,2024-06-24T19:22:37,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIDP,remote"
new delhi,2024-06-25,43.4,36.8,39.7,46.5,40.6,43.3,19.9,32.4,0.5,35.5,20.83,rain,0,0,21.6,20.5,163.6,994.6,29.2,24.1,261.5,22.6,9,30,2024-06-25T05:25:03,2024-06-25T19:22:45,0.62,Partially cloudy,Partly cloudy throughout the day with storms possible.,partly-cloudy-day,
new delhi,2024-06-26,46.3,37,41.9,46.3,40,43.5,17.2,25.4,0,12.9,0,,0,0,16.6,13.7,227.3,993.2,19.6,24.1,306.7,26.3,9,10,2024-06-26T05:25:21,2024-06-26T19:22:51,0.65,Clear,Clear conditions throughout the day.,clear-day,
new delhi,2024-06-27,46.8,33.4,40.1,48.8,39.8,43.4,19.6,33.1,0,6.5,0,,0,0,50.8,37.1,115.3,994.1,23.3,24.1,308.8,26.8,9,30,2024-06-27T05:25:39,2024-06-27T19:22:57,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
new delhi,2024-06-28,39.7,31,35.5,44.5,35.2,40.4,22.3,47.8,2.8,22.6,25,rain,0,0,50,29.2,138.7,996.9,97.4,23.7,229.7,19.9,7,30,2024-06-28T05:25:59,2024-06-28T19:23:01,0.72,Overcast,Cloudy skies throughout the day.,cloudy,
new delhi,2024-06-29,39,30.7,35.5,44.5,36.2,40.8,22.6,47.9,3.6,22.6,29.17,rain,0,0,29.8,26.3,125.5,996,71,20.9,223.8,19.3,6,30,2024-06-29T05:26:20,2024-06-29T19:23:04,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
new delhi,2024-06-30,32.4,29.8,31.2,38.3,34.8,36.9,24.1,66.3,13.9,38.7,25,rain,0,0,29.9,18.7,124.2,997,95.4,20,58,5.1,2,30,2024-06-30T05:26:41,2024-06-30T19:23:06,0.8,Overcast,Cloudy skies throughout the day with storms possible.,cloudy,
new delhi,2024-07-01,31,28,29.1,36.9,32,33.7,24.2,75.1,31.7,58.1,25,rain,0,0,14.8,12.2,201.3,996.6,93,15.7,30.5,2.7,1,10,2024-07-01T05:27:03,2024-07-01T19:23:06,0.83,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
new delhi,2024-07-02,31.6,26.8,29.3,35.9,29.6,33.3,23.4,70.9,25.8,51.6,25,rain,0,0,31.7,16.9,259.6,995.8,96.4,16.9,79.3,7,3,10,2024-07-02T05:27:26,2024-07-02T19:23:05,0.87,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,
new delhi,2024-07-03,35.3,29.2,31.5,41.1,33.1,36.3,23.2,62,6.6,54.8,25,rain,0,0,21.6,14.8,186.8,995.8,89.8,22.4,168.3,14.7,5,30,2024-07-03T05:27:50,2024-07-03T19:23:03,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
new delhi,2024-07-04,36.3,27.8,31.7,41.7,31.6,36.6,23.4,62.8,17.3,64.5,33.33,rain,0,0,25.6,15.1,171,997.5,91.8,19.3,169.6,14.4,5,30,2024-07-04T05:28:15,2024-07-04T19:22:59,0.94,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
new delhi,2024-07-05,33.3,28.5,30.9,39.4,33.1,36.2,24,67.2,8.4,58.1,25,rain,0,0,20.2,14.4,124,995.2,95.4,23.2,51.9,4.7,1,30,2024-07-05T05:28:40,2024-07-05T19:22:54,0.98,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
new delhi,2024-07-06,36.2,28,32.5,41.6,32.2,37.7,23.5,60.7,6.6,58.1,16.67,rain,0,0,20.5,14,91.3,994.1,49.5,22.4,193.1,17,7,30,2024-07-06T05:29:06,2024-07-06T19:22:47,0,"Rain, Partially cloudy",Becoming cloudy in the afternoon with storms possible.,rain,
new delhi,2024-07-07,36.6,32.1,34,43,37.7,40.4,23.9,55.9,0.1,61.3,4.17,rain,0,0,18,18.4,94.7,994.5,78.9,24.1,179.1,15.5,5,30,2024-07-07T05:29:33,2024-07-07T19:22:40,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
new delhi,2024-07-08,38,31.2,34.9,44.4,37.6,41.3,23.7,53.4,1.7,64.5,12.5,rain,0,0,19.1,12.2,98.7,995,76.6,24.1,185.8,16.4,7,30,2024-07-08T05:30:00,2024-07-08T19:22:30,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
